,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
1700,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,2022-10-28,83,3.6300242984538613,-2.9941103338659834,-2.397089934765153,-0.1569831916357758,1.0327674778839728,-0.695662452320019,-0.32336466678170434,-0.15128121494858174,0.8205599011451459,-0.7149272972267912,2.078516057691156,0.07684638870544681,-1.600642151334139,2,study
1701,Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda,We Don't Talk About Bruno,2021-11-19,74,0.9714006236599932,-0.617781299703431,-1.4700583696718175,-0.1569831916357758,-1.4441240156852164,-0.21572820182717248,-0.47182100891452233,-1.3516444071755038,-1.2186800727216054,-0.1617479185818828,3.129767439637037,0.07684638870544681,1.2970084697063082,2,study
1702,BREAK MY SOUL,Beyoncé,BREAK MY SOUL,2022-06-21,73,-0.49770969110156277,0.17432837835075388,1.2128078153996236,-0.15695585732719622,-1.1689138497330842,1.3062958247472793,0.7084069110413806,0.3633011152991289,-1.2186800727216054,-0.17027476834904898,-0.19505091813684108,0.07684638870544681,1.3982941297122813,0,dance
1703,Planet Her,Doja Cat,Woman,2021-06-25,83,-0.3441766264870829,1.1608649773818736,0.4576761431712775,-0.12061990329918987,-0.06807318592455565,-1.2806871473368846,-0.4272841062746769,0.7900640258113721,-1.2186800727216054,-0.14043079416396725,-0.4489412181525032,0.07684638870544681,1.5215984114586834,0,dance
1704,PROVENZA,KAROL G,PROVENZA,2022-04-22,85,2.4380583335555035,1.4921108427499872,-1.0648657650614854,-0.05519072122417647,-1.1689138497330842,-0.36068053910168146,-0.4792438260211632,-1.1000269686075916,0.8205599011451459,-0.47404379130434554,-0.33898181556758405,0.07684638870544681,-0.02410883471942734,2,study
1705,Te Felicito,Shakira,Te Felicito,2022-04-21,84,0.36805982661267655,0.23193635493651196,-0.3281519384972453,-0.1569831916357758,-0.06807318592455565,-1.290260857450792,-0.6945055221137493,0.5537409805681762,0.8205599011451459,2.328092213430653,1.9697268250040465,0.07684638870544681,0.1740587609444327,3,driving
1706,Un Verano Sin Ti,Bad Bunny,Moscow Mule,2022-05-06,85,0.6623724105381968,1.016845035917477,-0.09485922675190238,-0.15696859684657946,-0.06807318592455565,0.5143957416168452,-0.4421297404879587,0.1595403268117803,-1.2186800727216054,-0.6957418852506672,-0.74258072688443,0.07684638870544681,-1.0721952295638446,0,dance
1707,BORN PINK,BLACKPINK,Shut Down,2022-09-16,76,-0.759549786600634,1.132060989088994,-0.021187844095478303,-0.1569831916357758,-1.4441240156852164,-1.2007919654911543,0.07004463987026324,0.3327123286496963,0.8205599011451459,-0.6456466428685657,-0.3736115309809254,-4.625321828298076,0.5836051253164112,1,positive
1708,MAMIII,Becky G,MAMIII,2022-02-10,79,-0.32161266171945974,1.297683921773051,0.06476210233701578,-0.1569831916357758,-0.3432833518766878,0.02834019309720353,-0.25655931282193617,1.0920049520928665,-1.2186800727216054,-0.19478946142965198,-0.9611465231099253,0.07684638870544681,1.6008654497242276,0,dance
1709,Sweetest Pie,Megan Thee Stallion,Sweetest Pie,2022-03-11,73,0.03941077456251205,1.088855006649675,-0.377266193601528,-0.1569831916357758,0.4823471459797086,-0.5777662523239445,-0.5460491799809313,-0.6915186565796871,0.8205599011451459,1.3048702413707065,0.1353758067575164,0.07684638870544681,0.6232386444491833,3,driving
1710,After Hours (Deluxe),The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2020-03-20,80,-0.6742972414568751,-0.09210851335838105,0.8321723383414326,-0.15668140107951295,-1.4441240156852164,-0.8304779200621553,-0.6009780265700739,0.5581812883076102,0.8205599011451459,-0.7042687350178334,-0.07986231882107934,0.07684638870544681,0.25332579920997694,1,positive
1711,"Honestly, Nevermind",Drake,Jimmy Cooks (feat. 21 Savage),2022-06-17,85,-0.7782533513091009,-0.9634291592179837,-0.10099850863993773,-0.15695338363411213,-1.4441240156852164,-0.16078343073865925,-0.6054317168340585,0.5256190315517623,0.8205599011451459,0.8145763797586489,1.6691760003131744,0.07684638870544681,-0.7463196278054964,1,positive
1712,F*CK LOVE 3: OVER YOU,The Kid LAROI,STAY (with Justin Bieber),2021-07-23,66,-0.5918897179577293,-0.5169673406783529,0.4576761431712775,-0.1569831916357758,-1.1689138497330842,-2.035345253272297,-0.5312035457676496,0.14424593348706422,0.8205599011451459,-0.5358634521163006,1.815703212204685,0.07684638870544681,-0.2531025008198884,1,positive
1713,30,Adele,Oh My God,2021-11-19,78,-0.3333851650764805,-0.9274241738518844,0.21824414953789928,-0.1569831916357758,-1.1689138497330842,0.0053241125164537875,-1.0997913361363423,0.9227798904677806,0.8205599011451459,-0.5603781451969035,-1.1766406233536668,0.07684638870544681,0.06396565224228845,1,positive
1714,Dawn FM,The Weeknd,Out of Time,2022-01-06,80,0.47106923098660863,-0.09210851335838105,0.4331190156191362,-0.1569831916357758,-1.4441240156852164,-0.26291116701770945,1.2205812913996028,0.6682022467402462,-1.2186800727216054,-0.5753001322894444,-0.9953008570022813,0.07684638870544681,1.3322382644909945,0,dance
1715,The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),2022-02-11,69,3.7526545417561614,-0.9706301562912035,-2.3356971158847997,-0.1569572178583925,-1.4441240156852164,-0.9673746291334019,0.7974807163210711,-0.8000595124325118,0.8205599011451459,-0.7000053101342504,0.4956784318553591,0.07684638870544681,-1.0061393643425578,2,study
1716,I’m Tired (with Zendaya) - Bonus Track,Labrinth,I’m Tired (with Zendaya) - Bonus Track,2022-02-28,65,2.4135322848950436,-2.0723827084938415,-3.4162107281790184,-0.1569831916357758,-1.4441240156852164,-0.9056474598311997,-0.7798679188401196,-2.3916631532562076,-1.2186800727216054,-0.6754906170536475,0.41855692202775807,0.07684638870544681,-1.512567664372423,2,study
1717,When You're Gone,Shawn Mendes,When You're Gone,2022-03-31,76,-0.6581100493409714,-0.4305553757997146,0.009508565344697715,-0.1569831916357758,-0.06807318592455565,-1.2895018164954695,3.0317486654199812,-0.014125042552739189,0.8205599011451459,-0.6541734926357319,0.9826885162005391,0.07684638870544681,0.1828662096406043,1,positive
1718,Light Switch,Charlie Puth,Light Switch,2022-01-20,27,-0.2647122288271924,0.19593136957041266,-0.3895447573775987,-0.15283975571987227,0.2071369800275765,-0.9610574495697493,-0.641803520656599,0.04113212042688079,0.8205599011451459,2.210848029132117,2.3306145350507945,0.07684638870544681,1.6581138662493429,3,driving
1719,One Right Now,Post Malone,One Right Now (with The Weeknd),2021-11-05,76,-0.6026811793683318,0.17432837835075388,0.5620439352678783,-0.1569831916357758,-1.1689138497330842,-0.769436336138954,-0.7353310162002743,0.4787491165244062,0.8205599011451459,-0.4857682097341991,-0.8506020355761005,0.07684638870544681,0.6716796122781264,1,positive
1720,"Honestly, Nevermind",Drake,Falling Back,2022-06-17,62,0.38768066554104447,0.3975592876205688,0.4208404518430655,-0.07621711243920912,1.307977643836105,1.0099515446740728,-0.4792438260211632,-1.240143346163056,0.8205599011451459,-0.30137508351922965,-0.04702442606376014,0.07684638870544681,-0.8211829417229548,1,positive
1721,Mr. Morale & The Big Steppers,Kendrick Lamar,N95,2022-05-13,27,1.0695048183018334,0.9160310768923989,-0.11941635430404374,-0.15695449679599996,-1.1689138497330842,-0.7095945266290047,-0.41243847206139517,0.12303112984310292,0.8205599011451459,0.06847702513160499,0.7196928316675355,0.07684638870544681,-0.5613632051858934,1,positive
1722,Nail Tech,Jack Harlow,Nail Tech,2022-02-18,68,-0.7548407852578257,0.10231840761855525,-0.8131552076520365,-0.15687979126485949,-1.1689138497330842,-0.4540915469905754,-0.5653485044581976,-1.298854081828903,0.8205599011451459,-0.3109677895072916,1.0916240201248746,0.07684638870544681,-1.9177103043963155,2,study
1723,I NEVER LIKED YOU,Future,WAIT FOR U (feat. Drake & Tems),2022-04-29,84,0.760476605180037,-1.4386949660504942,-0.29131624716903326,-0.1569831916357758,-1.1689138497330842,-0.8579013352221975,-0.7865484542360964,0.6425471353568509,0.8205599011451459,2.5732391442366818,-1.3488384373784046,0.07684638870544681,-0.8652201852038125,3,driving
1724,Honest,Justin Bieber,Honest (feat. Don Toliver),2022-04-29,68,-0.15679761472116827,1.0600510183567962,-0.21150558262457383,-0.1559739248574542,0.7575573119318407,-0.7739416114866753,-0.5163579115543677,-0.49466501346479114,-1.2186800727216054,-0.30670436462370854,1.0870530439615507,0.07684638870544681,1.204530258396507,0,dance
1725,Feel Something,Jaymes Young,Infinity,2017-06-23,80,-0.05378821034723616,0.05911242517923607,-0.10099850863993773,-0.15632889981502565,1.5831878097882373,0.31315194768792803,0.9607826926671711,-0.5745905527745985,-1.2186800727216054,-0.5774318447312359,0.0617282388140415,0.07684638870544681,-0.18264291125051577,0,dance
1726,Fingers Crossed,Lauren Spencer Smith,Fingers Crossed,2022-01-05,1,2.241849944271823,-0.4305553757997146,-1.328854886247005,-0.1569831916357758,-0.06807318592455565,-1.2141363951895676,1.0053195953070164,-0.7171737679630824,0.8205599011451459,-0.5060194779312189,-0.39423577542984306,0.07684638870544681,-0.39402167995863346,2,study
1727,Guitar Songs,Billie Eilish,TV,2022-07-21,84,3.2915648269395126,-1.8059458167847071,-2.7838646937113793,-0.07621711243920912,-0.3432833518766878,1.382175435087432,-0.20459959307545006,-4.629084886404211,-1.2186800727216054,-0.6467124990894614,0.7291273264686363,0.07684638870544681,-1.8340395417826856,2,study
1728,she's all i wanna be,Tate McRae,she's all i wanna be,2022-02-04,72,-0.7140294402868202,-0.3513444079942961,-0.2790376833929626,-0.15689574658525207,-0.893703683780952,-0.4446157776450965,-0.4272841062746769,0.19950309646668418,-1.2186800727216054,-0.59661725670736,1.4539744425438859,0.07684638870544681,0.5087418113989528,0,dance
1729,Ivory,Omar Apollo,Evergreen (You Didn’t Deserve Me At All),2022-04-08,80,2.1535561690941667,0.2463383490829517,-2.1699365049078456,-0.09167769421496844,1.0327674778839728,-0.20201649424715135,-0.5015122773410859,-2.2786819896639487,0.8205599011451459,-0.5987489691491514,-1.3985706580353685,-4.625321828298076,-0.9929281912983003,2,study
1730,Proof,BTS,Yet To Come,2022-06-10,78,-0.5678541902704785,-0.7473992470213877,1.200529251623553,-0.1569831916357758,-1.1689138497330842,-0.7673061244256293,1.1760443887597574,0.6223190667660975,0.8205599011451459,0.9637962506840578,1.892532179557833,0.07684638870544681,0.649660990537698,1,positive
1731,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),2022-05-06,82,-0.3986244545133042,0.9952420446978174,-0.5430268045784822,-0.15658369020269014,0.7575573119318407,-1.0289793724750682,-0.21944522728873186,-0.8868921971147719,-1.2186800727216054,1.667261356475271,1.451524399320344,0.07684638870544681,0.9006732783785876,3,driving
1732,VICE VERSA,Rauw Alejandro,Desesperados,2021-12-10,79,0.9664954139279013,1.4849098456767673,0.027926411008803734,-0.14152260986001647,-1.1689138497330842,0.0016023633161623397,-0.6440303657885912,1.1970922352594653,-1.2186800727216054,-0.21610658584756753,-1.1063572938663988,0.07684638870544681,-0.10777959733305735,0,dance
1733,Una Noche en Medellín,Cris Mj,Una Noche en Medellín,2022-01-21,83,-0.32651787145155176,1.4921108427499872,-0.8684087446443546,-0.15641424222642783,1.307977643836105,-1.742869633552025,-0.8993752742570381,0.25821383213253024,-1.2186800727216054,-0.2299627167192126,-0.887023573645465,0.07684638870544681,1.3058159184024798,0,dance
1734,The Heart Part 5,Kendrick Lamar,The Heart Part 5,2022-05-08,63,0.1178941302759841,0.2679413403026113,0.7523616737969738,-0.1569831916357758,-1.1689138497330842,2.62719848335335,-0.7345887344896102,-1.1602178068532492,-1.2186800727216054,2.1149209692514974,-0.8363040221372232,0.07684638870544681,1.1693004636118207,3,driving
1735,RENAISSANCE,Beyoncé,ALIEN SUPERSTAR,2022-07-29,75,-0.7575386506104763,-0.8482132060464659,-0.2974555290570686,-0.15616810976455775,1.307977643836105,-0.23191291381001883,-0.026451982516068326,-0.30669198582876256,-1.2186800727216054,0.013052501645024615,0.05913192435327361,0.07684638870544681,-0.31475464169308925,0,dance
1736,It'll Be Okay,Shawn Mendes,It'll Be Okay,2021-12-01,75,2.241849944271823,-1.906759775809785,-2.4769005993096127,-0.1551773956843671,0.4823471459797086,-0.05216711855120621,-0.6187927876260121,-3.0118261341971206,0.8205599011451459,-0.6989394539133545,-1.5363215956932972,0.07684638870544681,-2.0647946976223808,2,study
1737,Potion (with Dua Lipa & Young Thug),Calvin Harris,Potion (with Dua Lipa & Young Thug),2022-05-27,71,-0.004736113026316046,1.1608649773818736,0.046344256672909756,-0.1564748477069888,1.5831878097882373,-0.2563981059171994,-0.7241967905403129,0.44766696234837017,-1.2186800727216054,-0.5465220143252584,-0.7418493706982984,0.07684638870544681,0.975536592296046,0,dance
1738,SKIN OF MY TEETH,Demi Lovato,SKIN OF MY TEETH,2022-06-10,48,-0.7796959734913091,-1.4746999514165935,1.5811647286817434,-0.1569831916357758,1.5831878097882373,-1.52823243954048,0.03293055433705871,1.7111811979805722,-1.2186800727216054,1.3048702413707065,0.390034030768617,0.07684638870544681,-0.2531025008198884,0,dance
1739,Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),Lil Nas X,Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),2022-06-24,61,-0.6551669235017161,1.506512836896427,-1.641958262536807,-0.1569831916357758,-1.1689138497330842,-1.0838262027951526,-0.4866666431278041,-0.8084467603847758,-1.2186800727216054,2.81838607504271,1.0853709247334469,0.07684638870544681,1.0680148036058477,3,driving
1740,"Honestly, Nevermind",Drake,Massive,2022-06-17,71,-0.22056534123836435,-1.1794590714145796,-0.1132770724160084,0.052043873972490114,-0.3432833518766878,2.74218094548867,-0.19717677596880914,-0.49219817583177244,-1.2186800727216054,-0.45272666688643004,0.17256526882231943,-4.625321828298076,-2.1127952930165157,2,study
1741,SUBSTANCE,Demi Lovato,SUBSTANCE,2022-07-15,46,-0.7791215734316812,-1.4170919748308346,1.5811647286817434,-0.1569831916357758,-1.1689138497330842,-1.5790392131628799,-0.35305593520826795,1.3026728859526675,0.8205599011451459,0.8145763797586489,-1.2951568933163287,0.07684638870544681,0.24892207486189113,1,positive
1742,Sunroof,Nicky Youre,Sunroof,2021-11-26,7,0.9370641555353492,0.757609141281562,0.16299061254558123,-0.1569831916357758,1.307977643836105,-1.5157694767579253,-0.18233114175552734,0.3287653884368663,0.8205599011451459,-0.6200660935670671,0.40791568951954016,0.07684638870544681,1.345449437535252,1,positive
1743,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,I Ain't Worried,2022-05-13,90,-0.3745889268260533,0.29674532859549074,0.6602724454764437,-0.1477686848974232,-1.4441240156852164,-1.871784169996331,-0.890467893729069,-0.07431588079839656,0.8205599011451459,-0.5443903018834668,0.7210824084211863,0.07684638870544681,1.2749898479658792,1,positive
1744,RENAISSANCE,Beyoncé,SUMMER RENAISSANCE,2022-07-29,70,-0.366250070281497,0.08071541639889565,-0.39568403926563406,-0.1384304935048646,-1.1689138497330842,1.2014012617601177,-0.4792438260211632,-1.883001233327742,0.8205599011451459,-0.5028219092685315,-0.009908099617570118,0.07684638870544681,-1.4421080748030508,2,study
1745,Un Verano Sin Ti,Bad Bunny,Ojitos Lindos,2022-05-06,88,-0.3873424721294926,-0.11371150457804063,-0.021187844095478303,-0.15696661789211216,-0.6184935178288199,0.8170082308694899,2.6234937245547325,0.01547700904348558,-1.2186800727216054,-0.610473387579005,-1.4753996253885164,0.07684638870544681,-1.1778846139179033,0,dance
1746,29,Demi Lovato,29,2022-08-17,64,-0.7548898373551467,-2.454035553374494,0.05248353856094509,-0.1569831916357758,-1.1689138497330842,-1.515720506373711,0.5525277518019217,0.9691564379685332,-1.2186800727216054,-0.4729779350834498,2.3289324158226914,0.07684638870544681,-1.0898101269561877,0,dance
1747,I'm Good (Blue),David Guetta,I'm Good (Blue),2022-08-26,93,-0.7609722974229408,-0.732997252874948,1.6916718026663795,-0.15689574658525207,0.4823471459797086,-1.216731825552929,1.4581114388121112,1.0377345241664542,-1.2186800727216054,-0.6850833230417095,0.2839508159701957,0.07684638870544681,-1.019350537386815,0,dance
1748,Forget Me,Lewis Capaldi,Forget Me,2022-09-09,81,0.6721828300023809,0.044710431032796344,0.3226119416345001,-0.1569831916357758,-1.1689138497330842,-0.5254169115987924,1.3393463651058568,1.1142064907900355,-1.2186800727216054,-0.5806294133939233,-0.6689331589409556,0.07684638870544681,0.7949838940245286,0,dance
1749,Hold Me Closer,Elton John,Hold Me Closer,2022-08-26,79,-0.4138306046827894,0.030308436886356618,0.37172619673878277,-0.1545342354824955,-1.4441240156852164,-0.555460242314303,0.166541262256595,0.5793960919515709,0.8205599011451459,-0.08500627067738689,0.21085176516632023,0.07684638870544681,-0.2178727060352021,1,positive
1750,Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),2022-08-25,92,1.0940308669622936,0.9952420446978174,0.7155259824687619,-0.1487086882693894,1.5831878097882373,0.3522547994830954,-0.4495525575945996,0.2814021058829063,0.8205599011451459,-0.6445807866476699,-0.4854724596497881,0.07684638870544681,1.1737041879599066,1,positive
1751,Midnights,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),2022-10-21,79,2.6048354644466314,0.0015044485934771672,-2.2743042970044463,-0.14470130547311258,1.0327674778839728,0.7637774232284794,-0.4272841062746769,-3.801214176763119,0.8205599011451459,-0.6509759239730446,-0.3773048797208916,0.07684638870544681,-1.5081639400243374,2,study
1752,La Bachata,Manuel Turizo,La Bachata,2022-05-26,93,2.079978023112787,1.240075945187292,-0.06416281731172568,-0.15695870207424298,0.4823471459797086,-1.5252697312955112,0.3224204214960538,0.2207179001106455,-1.2186800727216054,-0.6627003424028981,0.1720533194920273,0.07684638870544681,1.385082956668024,0,dance
1753,SNAP PACK,Rosa Linn,SNAP,2022-07-15,22,-0.25490180936300844,-0.7041932645820693,-0.3281519384972453,-0.15686074382811177,-1.4441240156852164,-1.111127191994659,2.02224553891682,-1.1947535337155117,0.8205599011451459,-0.3706557378774552,1.8187017725678254,0.07684638870544681,-0.04612745645985629,1,positive
1754,Shirt,SZA,Shirt,2022-10-28,77,-0.06359862981142018,1.1608649773818736,-1.4516405240077115,0.18067591434680763,-0.6184935178288199,-1.0553254391823945,-0.6306692949966376,-1.8884282761203828,-1.2186800727216054,-0.01892318498184873,-0.011553651036366781,0.07684638870544681,0.07277310093846004,2,study
1755,Until I Found You,Stephen Sanchez,Until I Found You,2021-09-01,84,2.786328224534036,-0.891419188485785,-1.1139800201657681,-0.1569831916357758,1.307977643836105,-1.1559595787429067,-0.004183531196145816,-0.13500008657065782,0.8205599011451459,-0.7437054151909771,-0.6917514719482684,-4.625321828298076,-1.3584373121894207,2,study
1756,Takin' It Back,Meghan Trainor,Made You Look,2022-10-21,89,0.9125381068748891,1.2616789364069516,-1.0096122280691673,-0.1569594441821682,1.307977643836105,-2.2201839684894034,-0.7234545088296488,1.0924983196194706,0.8205599011451459,-0.34187761991326915,0.9034460734331561,0.07684638870544681,1.5348095845029408,1,positive
1757,Midnights,Taylor Swift,Midnight Rain,2022-10-21,82,2.6048354644466314,-0.14251549287092008,-2.0041758939308916,-0.15634374197353038,-1.4441240156852164,-1.2278970731538033,-0.4421297404879587,-2.941274577892784,0.8205599011451459,-0.23316028538189987,0.7163651610206364,0.07684638870544681,-1.3452261391451634,2,study
1758,Indigo (Extended),Chris Brown,Under The Influence,2019-10-04,89,-0.4682784327090107,0.5055742437188667,0.0033692834566623753,-0.15696859684657946,1.0327674778839728,-0.9871831495481109,-0.5163579115543677,0.12204439478989554,-1.2186800727216054,-0.5955514004864642,-0.12005034124902261,0.07684638870544681,-0.9929281912983003,0,dance
1759,Mr. Morale & The Big Steppers,Kendrick Lamar,Die Hard,2022-05-13,76,0.7850026538404971,0.808016120794101,0.285776250306288,-0.14263577174787115,-1.1689138497330842,0.3451296085799058,-0.35305593520826795,-1.1325892253634386,-1.2186800727216054,1.5819928588036087,-0.7052815613917072,0.07684638870544681,-0.7639345251978396,3,driving
1760,777,Latto,Big Energy,2022-03-25,66,-0.5575532498330852,1.9745776466557179,0.6357153179243024,-0.1569831916357758,1.5831878097882373,-1.282792873858102,1.2354269256128845,0.6637619390008123,-1.2186800727216054,0.1750626472211828,-0.5211992093423272,0.07684638870544681,1.1384743931752201,0,dance
1761,Doja,Central Cee,Doja,2022-07-21,83,1.0842204474981094,1.7873517227520015,-0.7149266974434717,-0.1569831916357758,0.2071369800275765,-3.122806090328508,1.6956415862246201,-0.8158472732838319,0.8205599011451459,2.0189939093708773,0.7227645276492892,0.07684638870544681,1.92233732713449,3,driving
1762,DS4EVER,Gunna,pushin P (feat. Young Thug),2022-01-13,74,-0.7413514584945727,0.7936141266476613,-1.641958262536807,-0.07126972627096614,-1.1689138497330842,-2.17096873235397,-0.3382103009949861,0.5941971177496835,-1.2186800727216054,0.9424791262661423,-1.5641131307663065,-14.029658262305121,-0.2090652573390305,2,study
